,Artist Reputation,Height,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Cost
1467,0.38,44.0,Wood,4.82,10.86,No,No,No,Waterways,No,Working Class,No,132.07
1468,0.41,37.0,Bronze,221.515,35.77,No,Yes,Yes,Airways,No,Wealthy,No,2338.3
1469,0.52,31.0,Wood,3.82,10.64,No,No,Yes,,No,Wealthy,No,252.23
1470,0.22,8.0,Brass,6.45,10.04,Yes,Yes,Yes,,No,Wealthy,Yes,238.05
1471,,23.0,,52.88,98.91,No,No,No,Waterways,No,Working Class,No,547.57
1472,0.69,46.0,Bronze,221.515,63.91,No,Yes,No,Roadways,No,Working Class,No,2621.29875
1473,0.0,7.0,,6.27,10.3,Yes,No,Yes,Airways,No,Working Class,No,105.11
1474,0.59,4.0,Clay,4.45,21.66,Yes,No,Yes,Waterways,Yes,Working Class,No,224.2
1475,0.94,23.0,Aluminium,5.07,17.85,Yes,No,No,Airways,No,Wealthy,No,849.23
1476,0.33,44.0,Bronze,94.7,36.48,No,Yes,Yes,Roadways,No,Working Class,No,1692.19
1477,0.36,32.0,,19.89,16.25,Yes,Yes,Yes,Airways,Yes,Working Class,No,430.0
1478,0.35,,Brass,221.515,28.93,Yes,No,Yes,,No,Working Class,,2448.44
1479,0.8,35.0,Wood,6.84,24.37,Yes,No,No,Waterways,No,Working Class,Yes,992.49
1480,0.08,17.0,Marble,221.515,70.28,No,Yes,Yes,Airways,No,Working Class,No,1095.95
1481,0.29,13.0,Clay,4.04,19.86,No,No,No,Roadways,Yes,Working Class,No,184.5
1482,0.18,21.0,Stone,221.515,63.14,Yes,No,No,,No,Working Class,No,2621.29875
1483,0.12,12.0,Marble,56.51,89.04,Yes,Yes,No,Airways,No,Working Class,,629.68
1484,0.63,5.0,Marble,16.69,11.44,Yes,Yes,No,Airways,No,Working Class,No,245.5
1485,0.04,42.0,,221.515,55.29,Yes,Yes,Yes,,No,Working Class,No,-1267.4912499999998
1486,0.52,13.0,Aluminium,3.45,23.51,No,No,Yes,,No,Working Class,No,-255.49
1487,0.28,35.0,,160.61,44.91,No,No,No,Roadways,No,Working Class,No,771.03
1488,0.54,23.0,Brass,80.12,96.98,Yes,No,Yes,Roadways,No,Working Class,No,2621.29875
1489,0.28,6.0,Aluminium,4.08,22.41,Yes,No,Yes,Roadways,No,Wealthy,No,238.65
1490,0.16,14.0,Aluminium,5.1,13.99,No,No,No,Airways,No,Working Class,No,134.1
1491,0.98,28.0,Aluminium,5.34,14.09,No,Yes,No,Airways,No,Wealthy,Yes,926.94
1492,0.86,41.0,Marble,221.515,98.32,Yes,Yes,Yes,Airways,Yes,Wealthy,No,2621.29875
1493,0.49,23.0,Stone,221.515,38.36,Yes,No,Yes,Airways,No,Wealthy,No,2621.29875
1494,0.77,,Stone,221.515,45.73,Yes,No,Yes,,No,Working Class,No,2621.29875
1495,0.81,32.0,Clay,7.12,14.39,No,No,No,Roadways,Yes,Working Class,No,801.65
1496,0.4,21.0,Marble,221.515,70.22,Yes,No,No,Waterways,No,Working Class,No,1396.78
1497,0.13,19.0,Wood,6.5,10.49,No,No,No,Roadways,No,Working Class,Yes,111.53
1498,,19.0,Stone,221.515,52.14,No,No,Yes,,No,Working Class,No,1477.05
1499,,15.0,,221.515,87.03,No,No,No,Roadways,No,Working Class,,1381.82
1500,,41.0,Aluminium,9.78,34.53,No,No,No,Roadways,No,Working Class,No,271.79
1501,0.61,11.0,Aluminium,6.27,23.26,Yes,Yes,No,,No,Wealthy,No,419.21
1502,,21.0,Marble,221.515,61.16,No,Yes,No,Roadways,No,Working Class,No,2345.85
1503,0.32,25.0,Brass,103.69,70.06,No,No,No,Roadways,No,Working Class,No,801.93
1504,0.57,19.0,Clay,4.51,18.1,No,No,Yes,Roadways,Yes,Working Class,No,329.97
1505,0.09,24.0,Bronze,7.23,98.58,Yes,No,No,Waterways,No,Working Class,Yes,555.11
1506,0.02,3.0,Brass,4.52,21.71,Yes,Yes,No,Airways,No,Working Class,Yes,167.94
1507,0.22,41.0,,72.98,75.09,Yes,Yes,Yes,Airways,Yes,Working Class,No,1338.77
1508,0.7,25.0,Stone,159.1,30.76,No,No,No,Roadways,No,Working Class,No,1164.3
1509,,21.0,Wood,4.69,16.26,No,No,No,Roadways,No,Working Class,Yes,113.53
1510,0.68,34.0,Stone,221.515,70.43,No,No,No,Airways,No,Wealthy,No,2621.29875
1511,0.36,3.0,Bronze,6.13,11.74,Yes,No,No,Waterways,No,Working Class,No,156.78
1512,0.17,25.0,Aluminium,5.66,18.81,Yes,No,No,Waterways,No,Wealthy,No,151.28
1513,0.29,46.0,Aluminium,4.07,12.34,Yes,No,No,Airways,No,Working Class,No,169.31
1514,0.23,21.0,Bronze,21.19,42.28,No,Yes,Yes,Roadways,No,Working Class,No,385.28
1515,0.06,17.0,Brass,15.06,71.1,Yes,No,No,Waterways,No,Working Class,No,330.46
1516,0.02,15.0,Clay,6.72,13.12,No,No,No,Roadways,Yes,Wealthy,No,-124.04
1517,0.22,34.0,Wood,4.94,11.05,Yes,Yes,Yes,,No,Working Class,No,204.91
1518,0.33,14.0,Clay,3.31,24.88,Yes,No,No,Roadways,Yes,Working Class,No,264.6
1519,,25.0,Stone,221.515,80.01,No,Yes,No,Airways,No,Wealthy,No,2621.29875
1520,0.6,28.0,Wood,4.95,13.14,No,No,Yes,Waterways,No,Working Class,No,267.79
1521,0.33,26.0,Stone,221.515,33.62,Yes,Yes,No,Airways,No,Working Class,No,2621.29875
1522,0.84,3.0,Aluminium,4.62,22.87,No,No,No,Roadways,No,Wealthy,No,263.5
1523,0.76,29.0,Bronze,50.28,28.4,No,No,No,Roadways,No,Working Class,No,1268.42
1524,0.25,9.0,Marble,7.31,74.54,No,No,No,Roadways,No,Wealthy,No,556.14
1525,0.07,14.0,Wood,5.28,21.33,No,Yes,Yes,Roadways,No,Working Class,,145.54
1526,0.61,,Brass,38.13,83.58,No,No,No,,No,Working Class,No,1527.17
1527,0.13,9.0,Marble,3.38,31.56,No,Yes,No,Airways,No,Wealthy,No,285.78
1528,0.41,18.0,Wood,5.38,11.32,Yes,No,No,Waterways,No,Working Class,No,160.99
1529,0.91,13.0,Brass,13.51,23.02,Yes,Yes,No,,No,Wealthy,No,711.08
1530,0.67,18.0,Aluminium,5.96,10.78,No,Yes,No,Airways,No,Wealthy,Yes,311.33
1531,0.74,23.0,Brass,42.11,67.54,No,Yes,No,Roadways,No,Working Class,,1608.54
1532,0.99,55.0,Aluminium,22.31,13.44,Yes,No,No,Waterways,No,Working Class,No,1172.37
1533,0.52,13.0,Bronze,3.98,20.63,No,Yes,No,,No,Working Class,No,265.67
1534,0.66,8.0,,6.77,21.95,No,Yes,No,Roadways,No,Working Class,Yes,334.22
1535,0.17,4.0,Stone,4.31,10.74,Yes,No,Yes,Airways,No,Wealthy,No,213.82
1536,0.61,27.0,Aluminium,6.1,11.58,No,No,Yes,Roadways,No,Working Class,No,284.65
1537,,27.0,Brass,70.4,60.59,Yes,No,Yes,Waterways,No,Working Class,No,1577.34
1538,0.85,33.0,Aluminium,3.61,20.09,Yes,No,No,Airways,No,Working Class,No,871.73
1539,0.6,23.0,Wood,6.22,12.7,Yes,Yes,No,Airways,No,Working Class,No,332.82
1540,0.57,21.0,Aluminium,3.95,16.04,Yes,No,No,Airways,No,Working Class,No,288.34
1541,0.92,11.0,Wood,4.28,22.49,Yes,No,No,,No,Working Class,No,463.64
1542,0.46,23.0,Bronze,8.39,25.0,No,No,Yes,Waterways,No,Working Class,No,461.54
1543,0.46,13.0,Aluminium,5.21,22.16,No,Yes,Yes,,No,Wealthy,,341.44
1544,0.32,7.0,Brass,4.37,20.63,No,No,No,Roadways,No,Working Class,No,183.89
1545,0.21,27.0,,16.67,77.67,No,No,Yes,,No,Working Class,No,-730.8
1546,0.55,14.0,Marble,75.13,92.18,No,No,Yes,Roadways,No,Working Class,Yes,2046.59
1547,0.09,25.0,Clay,9.16,24.14,No,Yes,No,Roadways,Yes,Wealthy,,245.22
1548,0.12,25.0,Wood,6.82,10.49,No,Yes,Yes,Airways,No,Working Class,No,131.45
1549,0.36,19.0,Bronze,39.2,78.33,No,No,Yes,Airways,No,Working Class,Yes,761.47
1550,0.82,10.0,Marble,8.02,47.52,No,Yes,Yes,Airways,No,Working Class,,1381.77
1551,0.21,4.0,Marble,5.3,24.29,No,Yes,No,Roadways,No,Working Class,No,200.19
1552,0.49,23.0,Stone,221.515,57.42,No,Yes,No,,No,Wealthy,Yes,2621.29875
1553,,38.0,Aluminium,21.31,15.92,No,No,No,Roadways,No,Working Class,No,240.02
1554,0.93,16.0,Aluminium,4.46,21.05,No,Yes,Yes,Airways,No,Wealthy,No,774.36
1555,0.41,6.0,Aluminium,3.66,23.27,Yes,Yes,Yes,Airways,No,Wealthy,Yes,249.01
1556,0.64,16.0,Wood,4.68,12.73,No,Yes,No,Roadways,No,Wealthy,No,247.02
1557,0.09,14.0,Stone,221.515,88.05,No,No,Yes,,No,Working Class,No,977.08
1558,0.28,45.0,Clay,5.19,54.61,No,No,No,Waterways,Yes,Working Class,No,503.59
1559,0.26,36.0,,123.98,86.28,No,No,Yes,,No,Wealthy,No,1204.27
1560,,10.0,Clay,4.28,10.18,No,No,No,,Yes,Wealthy,No,115.23
1561,0.18,6.0,Wood,5.02,10.92,Yes,No,No,Waterways,No,Working Class,No,104.46
1562,0.84,5.0,Aluminium,3.78,18.82,Yes,Yes,No,Airways,No,Wealthy,No,284.62
1563,0.57,15.0,Marble,114.11,27.87,Yes,Yes,Yes,Airways,No,Wealthy,No,1012.61
1564,0.62,21.0,Wood,3.95,13.76,Yes,Yes,No,,No,Working Class,No,295.12
1565,0.79,26.0,Stone,221.515,30.23,No,Yes,Yes,Airways,No,Wealthy,No,2621.29875
1566,0.42,10.0,Wood,3.64,16.57,Yes,Yes,Yes,Airways,No,Wealthy,No,190.06
1567,0.49,42.0,,32.08,75.05,No,No,No,,No,Working Class,No,1072.6
1568,0.44,10.0,Stone,12.37,29.65,No,No,Yes,Roadways,No,Working Class,,-324.51
1569,,16.0,Stone,221.515,77.56,No,No,No,Roadways,No,Working Class,No,2621.29875
1570,0.22,6.0,Marble,10.79,11.24,No,No,No,Roadways,No,Working Class,No,169.94
1571,0.16,28.0,Marble,221.515,40.24,No,No,Yes,Roadways,No,Working Class,No,1737.08
1572,0.05,36.0,Clay,7.2,88.23,No,No,No,Roadways,Yes,Working Class,,457.57
1573,0.61,48.0,Wood,5.51,21.91,Yes,No,Yes,Roadways,No,Working Class,Yes,875.85
1574,0.2,11.0,Bronze,5.87,16.74,No,No,No,Roadways,No,Working Class,No,177.91
1575,0.33,35.0,Clay,11.83,61.36,No,No,No,Roadways,Yes,Working Class,No,711.36
1576,0.98,49.0,Aluminium,13.3,36.92,No,No,Yes,Airways,No,Working Class,,2621.29875
1577,0.77,38.0,Clay,82.29,38.19,No,Yes,Yes,Airways,Yes,Working Class,No,2621.29875
1578,0.0,3.0,Brass,6.17,14.75,Yes,Yes,Yes,Airways,No,Working Class,No,150.4
1579,0.69,37.0,Brass,140.38,38.87,No,No,Yes,,No,Wealthy,No,1397.26
1580,0.03,43.0,Stone,221.515,51.05,No,No,Yes,Roadways,No,Working Class,Yes,2621.29875
1581,0.98,15.0,Brass,5.49,20.04,Yes,Yes,No,Airways,No,Wealthy,Yes,-963.88
1582,0.25,33.0,Bronze,43.68,56.89,Yes,Yes,Yes,Airways,No,Wealthy,No,1459.74
1583,0.77,4.0,Marble,3.02,21.72,No,Yes,No,Roadways,No,Wealthy,No,338.74
1584,0.45,36.0,Brass,188.57,33.45,Yes,No,No,Waterways,No,Working Class,No,-651.66
1585,0.37,17.0,Stone,140.77,47.78,No,No,No,Waterways,No,Working Class,No,614.97
1586,0.6,56.0,Marble,221.515,95.25,Yes,Yes,Yes,,Yes,Working Class,,2621.29875
1587,0.63,37.0,Wood,4.27,23.12,No,No,Yes,,No,Working Class,Yes,541.67
1588,0.4,11.0,,5.35,24.4,Yes,Yes,Yes,Airways,Yes,Working Class,,283.79
1589,0.38,16.0,Brass,20.42,18.25,No,Yes,No,Roadways,No,Wealthy,,339.36
1590,0.08,12.0,,4.44,15.2,No,Yes,Yes,,No,Working Class,No,161.82
1591,0.89,46.0,Clay,20.1,34.78,Yes,Yes,Yes,Airways,Yes,Wealthy,Yes,2621.29875
1592,0.34,5.0,,5.5,14.82,No,No,No,Roadways,No,Working Class,Yes,225.98
1593,0.65,14.0,Stone,28.95,71.8,No,Yes,No,Airways,No,Wealthy,No,1123.63
1594,0.6,34.0,Aluminium,9.75,23.2,No,No,Yes,Roadways,No,Working Class,No,976.49
1595,0.34,31.0,Clay,19.86,29.47,Yes,No,No,Airways,Yes,Working Class,No,477.84
1596,,27.0,Wood,3.75,23.38,Yes,Yes,Yes,Airways,No,Wealthy,No,722.02
1597,0.27,13.0,Marble,50.45,53.23,Yes,No,No,Waterways,No,Working Class,Yes,497.43
1598,0.52,56.0,Bronze,221.515,89.24,No,No,No,Roadways,No,Working Class,Yes,2621.29875
1599,0.14,16.0,Brass,12.71,42.22,Yes,No,No,,No,Working Class,No,-290.97
1600,0.21,27.0,Aluminium,6.31,18.21,No,Yes,Yes,Roadways,No,Wealthy,No,232.68
1601,0.24,28.0,Aluminium,3.34,24.95,No,Yes,No,Roadways,No,Working Class,No,196.12
1602,0.66,42.0,Stone,221.515,97.53,Yes,No,Yes,Roadways,No,Working Class,No,2621.29875
1603,0.43,11.0,,3.63,16.24,No,Yes,No,Airways,No,Working Class,No,159.16
1604,0.39,4.0,,4.0,12.62,No,No,No,Roadways,Yes,Working Class,No,131.15
1605,0.54,11.0,Clay,5.69,13.52,No,No,Yes,Roadways,Yes,Working Class,Yes,219.35
1606,0.96,12.0,Brass,19.4,13.15,No,Yes,No,,No,Wealthy,Yes,520.04
1607,,27.0,Brass,29.49,59.79,Yes,No,No,Waterways,No,Working Class,No,676.63
1608,0.72,23.0,Clay,5.52,12.43,No,No,No,Airways,Yes,Working Class,No,378.46
1609,,24.0,Wood,4.35,23.11,Yes,Yes,Yes,,No,Wealthy,No,225.92
1610,0.66,8.0,Stone,14.98,49.61,Yes,Yes,No,Airways,No,Wealthy,No,705.43
1611,0.08,25.0,Aluminium,3.15,22.2,No,Yes,Yes,,No,Wealthy,No,177.9
1612,0.73,38.0,Wood,3.16,23.83,No,No,No,Roadways,No,Working Class,No,552.59
1613,0.29,,Clay,7.58,16.59,Yes,No,No,Waterways,Yes,Working Class,No,233.23
1614,,22.0,Clay,6.29,20.64,No,No,Yes,Roadways,Yes,Working Class,No,428.17
1615,0.35,25.0,Brass,45.31,86.34,No,No,No,,No,Working Class,No,817.88
1616,0.72,28.0,Brass,114.28,36.15,No,No,No,Roadways,No,Working Class,No,1229.69
1617,0.05,36.0,Brass,33.04,77.37,No,Yes,No,Roadways,No,Working Class,No,-417.57
1618,0.5,20.0,Brass,148.85,78.01,No,Yes,Yes,,No,Working Class,,1391.75
1619,0.63,13.0,Stone,51.25,67.78,No,No,Yes,Airways,No,Working Class,Yes,1699.21
1620,0.73,18.0,Bronze,6.34,17.46,No,No,No,,No,Working Class,No,421.34
1621,0.57,9.0,Clay,3.48,12.07,No,No,No,,Yes,Working Class,Yes,182.1
1622,0.21,32.0,Wood,5.38,17.42,Yes,No,Yes,Airways,No,Wealthy,No,236.12
1623,0.61,22.0,Stone,221.515,71.65,No,Yes,Yes,Airways,No,Wealthy,No,2621.29875
1624,0.23,26.0,Wood,5.32,14.39,No,No,Yes,Waterways,No,Working Class,No,149.68
1625,0.6,14.0,Stone,199.54,35.42,Yes,No,Yes,Waterways,No,Wealthy,No,808.59
1626,0.05,14.0,Stone,67.93,45.52,Yes,No,Yes,Waterways,No,Working Class,No,441.11
1627,0.37,18.0,Stone,221.515,33.53,Yes,Yes,Yes,Airways,No,Working Class,Yes,1348.68
1628,0.62,23.0,Wood,5.9,17.37,No,No,Yes,Roadways,No,Working Class,No,387.44
1629,0.74,3.0,Bronze,3.6,21.88,Yes,No,No,,No,Working Class,,244.38
1630,0.52,12.0,Wood,6.2,15.71,No,No,Yes,Roadways,No,Working Class,No,228.75
1631,0.68,4.0,Aluminium,5.32,14.91,No,Yes,Yes,Airways,No,Wealthy,Yes,281.26
1632,0.95,7.0,Clay,3.8,16.71,No,Yes,Yes,Airways,Yes,Working Class,Yes,327.34
1633,0.08,28.0,,221.515,74.33,No,No,No,Airways,No,Wealthy,No,2621.29875
1634,0.37,13.0,Stone,221.515,66.32,Yes,No,Yes,Airways,No,Wealthy,No,2621.29875
1635,0.52,,Marble,221.515,25.01,Yes,Yes,Yes,,Yes,Working Class,No,-1267.4912499999998
1636,0.02,47.0,,23.46,66.76,No,Yes,No,Roadways,Yes,Wealthy,No,450.45
1637,,5.0,,4.32,14.27,No,Yes,No,Roadways,No,Working Class,No,150.66
1638,0.34,9.0,Stone,11.49,59.08,No,No,No,,No,Working Class,No,407.08
1639,0.72,9.0,Wood,6.19,24.5,Yes,Yes,No,Airways,No,Working Class,Yes,462.33
1640,0.43,5.0,Stone,4.58,16.38,No,No,No,Waterways,No,Wealthy,No,230.53
1641,0.18,17.0,Aluminium,6.84,22.08,No,No,Yes,,No,Wealthy,No,-195.11
1642,,44.0,Stone,221.515,65.3,No,No,No,Roadways,No,Working Class,No,2621.29875
1643,0.08,12.0,Wood,6.44,14.12,No,No,Yes,Airways,No,Working Class,No,115.16
1644,0.79,44.0,Wood,5.1,20.97,Yes,Yes,No,Airways,No,Wealthy,No,-1046.32
1645,,10.0,Stone,75.16,25.81,Yes,No,Yes,,No,Working Class,No,1206.57
1646,0.19,14.0,Marble,14.49,52.33,No,No,Yes,Airways,No,Wealthy,No,495.99
1647,,24.0,,7.57,11.3,Yes,Yes,Yes,Airways,Yes,Wealthy,No,240.81
1648,0.1,22.0,Clay,3.57,23.24,No,No,Yes,Airways,Yes,Working Class,Yes,260.72
1649,0.28,26.0,Bronze,26.06,56.97,Yes,Yes,Yes,Airways,No,Wealthy,Yes,758.49
1650,0.43,24.0,Marble,221.515,91.58,Yes,No,No,Waterways,No,Working Class,No,-1267.4912499999998
1651,0.36,37.0,Marble,221.515,79.54,Yes,No,Yes,,Yes,Working Class,,2621.29875
1652,0.56,7.0,,6.11,24.48,Yes,Yes,No,Airways,No,Wealthy,No,437.79
1653,,11.0,,190.38,45.83,Yes,No,No,Airways,No,Working Class,No,720.74
1654,0.3,33.0,Clay,24.38,98.81,Yes,No,Yes,Waterways,Yes,Working Class,,900.91
1655,0.58,28.0,Wood,3.32,17.24,No,No,Yes,,No,Working Class,Yes,-344.74
1656,0.88,20.0,Wood,6.5,14.25,No,No,No,Airways,No,Working Class,,568.76
1657,0.47,10.0,Brass,6.62,14.3,No,No,No,Roadways,No,Wealthy,Yes,256.05
1658,0.3,21.0,,4.3,16.37,No,Yes,No,Roadways,No,Working Class,No,152.72
1659,0.31,7.0,Bronze,5.75,22.0,No,No,Yes,Airways,No,Working Class,No,-210.45
1660,0.13,19.0,,23.81,59.04,No,No,No,Airways,No,Working Class,No,330.18
1661,0.02,16.0,Brass,6.52,13.95,Yes,No,Yes,Roadways,No,Working Class,Yes,210.98
1662,0.42,21.0,Bronze,35.44,39.2,Yes,Yes,No,Airways,No,Working Class,No,608.46
1663,0.5,25.0,Marble,221.515,26.58,No,No,No,Roadways,No,Wealthy,Yes,2621.29875
1664,0.67,35.0,Wood,5.2,24.58,Yes,No,Yes,Waterways,No,Wealthy,No,845.58
1665,0.22,32.0,Bronze,9.89,82.5,Yes,No,Yes,,No,Working Class,No,-736.66
1666,,25.0,Stone,221.515,67.78,Yes,Yes,Yes,Airways,No,Working Class,No,2621.29875
1667,0.15,49.0,Brass,96.15,42.5,No,Yes,No,Airways,No,Working Class,No,1765.29
1668,0.17,36.0,Brass,221.515,79.41,Yes,Yes,No,Airways,No,Wealthy,,1461.27
1669,0.0,14.0,Aluminium,4.73,20.26,No,No,No,Waterways,No,Working Class,No,122.75
1670,0.21,32.0,,6.44,19.25,No,Yes,Yes,,No,Wealthy,Yes,244.42
1671,0.65,28.0,Stone,221.515,44.32,No,No,No,,No,Working Class,Yes,2621.29875
1672,0.64,37.0,Wood,6.77,21.75,Yes,No,Yes,,No,Working Class,No,596.66
1673,0.49,18.0,Marble,90.08,65.02,Yes,Yes,No,Airways,No,Working Class,Yes,2621.29875
1674,0.38,20.0,Brass,28.78,85.02,No,No,No,Roadways,No,Working Class,No,744.82
1675,0.47,32.0,Brass,183.59,74.83,No,No,No,Airways,No,Working Class,Yes,1508.98
1676,0.71,32.0,Marble,221.515,48.09,Yes,No,Yes,,No,Working Class,No,2621.29875
1677,0.4,3.0,Wood,5.2,22.44,No,No,Yes,Roadways,No,Working Class,Yes,176.04
1678,0.01,30.0,Brass,36.08,79.76,No,No,Yes,Airways,No,Working Class,,465.87
1679,0.65,6.0,,13.81,11.69,No,No,No,Waterways,No,Wealthy,No,241.17
1680,0.31,,Brass,22.71,90.98,No,No,Yes,Roadways,No,Working Class,Yes,948.1
1681,0.28,18.0,Aluminium,3.62,20.09,No,No,Yes,Waterways,No,Working Class,No,193.66
1682,0.49,23.0,Aluminium,4.07,12.44,No,Yes,No,Roadways,No,Working Class,No,235.03
1683,0.02,33.0,Marble,115.75,76.55,No,No,No,Roadways,No,Wealthy,No,658.75
1684,,,,160.81,33.89,No,Yes,Yes,,No,Wealthy,No,1170.73
1685,0.04,47.0,Stone,221.515,94.17,No,No,No,Waterways,No,Working Class,No,2621.29875
1686,0.77,16.0,,63.14,59.16,No,Yes,No,Airways,No,Working Class,No,2621.29875
1687,,34.0,Aluminium,7.96,18.5,Yes,Yes,Yes,Airways,No,Wealthy,,679.21
1688,0.79,9.0,Clay,6.39,16.93,No,No,No,Roadways,Yes,Working Class,,367.0
1689,0.57,4.0,Wood,3.15,18.99,Yes,Yes,Yes,Airways,No,Wealthy,No,-182.64
1690,0.29,33.0,Clay,14.82,19.14,No,No,Yes,Roadways,Yes,Working Class,No,307.34
1691,0.7,21.0,Stone,221.515,71.87,No,No,No,Roadways,No,Working Class,No,2621.29875
1692,0.91,7.0,Wood,3.1,15.11,No,No,Yes,Waterways,No,Wealthy,No,262.72
1693,0.68,46.0,,6.5,12.32,No,Yes,Yes,,No,Wealthy,No,668.0
1694,0.47,26.0,Clay,9.56,21.29,No,No,No,,Yes,Working Class,,522.52
1695,0.09,4.0,,6.35,23.54,No,No,Yes,Roadways,Yes,Working Class,,150.57
1696,0.82,12.0,Aluminium,5.77,24.75,Yes,No,Yes,Waterways,No,Working Class,No,483.07
1697,0.65,17.0,,28.04,38.22,No,Yes,Yes,Roadways,No,Wealthy,No,833.33
1698,0.38,14.0,Brass,22.93,55.58,No,Yes,Yes,,No,Working Class,No,633.39
1699,0.25,,Aluminium,6.13,22.62,No,No,Yes,Waterways,No,Wealthy,,268.68
1700,0.87,19.0,Marble,221.515,95.79,No,No,No,Roadways,No,Working Class,No,-1267.4912499999998
1701,0.24,3.0,Aluminium,4.93,15.72,No,No,Yes,Airways,No,Working Class,Yes,131.01
1702,0.91,11.0,Clay,7.82,23.68,No,No,Yes,Roadways,Yes,Wealthy,No,1177.01
1703,1.0,29.0,Marble,221.515,93.7,No,No,No,Waterways,No,Wealthy,No,2621.29875
1704,,48.0,Brass,221.515,33.52,No,No,No,Roadways,No,Working Class,No,2621.29875
1705,0.38,31.0,Brass,7.91,50.99,No,No,Yes,Roadways,No,Working Class,No,602.05
1706,0.44,35.0,Wood,4.71,19.44,No,No,No,Roadways,No,Working Class,Yes,269.99
1707,0.38,,,19.42,98.93,Yes,No,No,Waterways,No,Working Class,Yes,845.48
1708,0.63,12.0,Brass,14.46,11.44,No,Yes,Yes,Roadways,No,Wealthy,No,421.38
1709,0.96,29.0,Clay,6.34,18.44,No,No,Yes,Roadways,Yes,Wealthy,No,1333.65
1710,,,Aluminium,4.97,24.21,No,Yes,Yes,Airways,No,Working Class,,216.72
1711,0.7,23.0,Wood,5.69,13.55,No,No,No,,No,Working Class,Yes,375.22
1712,0.18,8.0,Bronze,5.17,10.94,Yes,Yes,No,Airways,No,Working Class,No,153.33
1713,,3.0,,5.78,10.68,Yes,No,No,Airways,No,Working Class,No,203.87
1714,,,,3.43,19.61,Yes,No,No,Waterways,No,Working Class,No,149.4
1715,0.88,13.0,Marble,82.25,44.51,No,Yes,No,,No,Wealthy,No,2621.29875
1716,0.32,9.0,Brass,4.17,16.01,Yes,No,Yes,Airways,No,Working Class,No,187.46
1717,0.49,20.0,Marble,221.515,51.55,Yes,No,No,Roadways,No,Wealthy,No,2621.29875
1718,0.33,10.0,Bronze,5.89,14.71,Yes,No,Yes,Waterways,No,Working Class,,209.39
1719,0.55,8.0,,6.13,24.38,No,No,No,Roadways,No,Working Class,No,300.8
1720,0.07,17.0,Clay,6.0,18.08,No,No,Yes,Waterways,Yes,Working Class,No,155.56
1721,,26.0,Marble,221.515,78.39,Yes,No,No,,No,Working Class,No,2064.77
1722,0.07,13.0,Aluminium,6.8,14.94,Yes,No,Yes,Roadways,No,Wealthy,No,176.75
1723,0.98,17.0,Aluminium,6.1,18.88,No,No,Yes,,No,Working Class,,1116.61
1724,0.14,35.0,Wood,3.4,14.3,No,Yes,Yes,Airways,No,Working Class,No,-157.32
1725,0.5,49.0,,221.515,43.82,Yes,No,Yes,,No,Working Class,No,2621.29875
1726,0.76,33.0,Clay,20.7,95.14,No,No,No,Roadways,Yes,Working Class,No,2621.29875
1727,0.81,26.0,Bronze,14.96,67.21,Yes,No,No,,No,Wealthy,No,1897.49
1728,0.7,24.0,Marble,221.515,42.44,Yes,Yes,Yes,Airways,No,Working Class,Yes,2621.29875
1729,0.42,53.0,Brass,114.44,36.65,No,No,Yes,Roadways,No,Working Class,No,911.62
1730,0.69,21.0,Stone,221.515,90.11,No,No,No,Airways,No,Working Class,No,2621.29875
1731,0.48,14.0,,3.71,13.73,Yes,Yes,No,Airways,No,Working Class,Yes,182.55
1732,0.49,26.0,Bronze,12.76,44.32,Yes,Yes,No,,No,Working Class,No,682.15
1733,0.34,10.0,Bronze,5.96,16.06,No,No,Yes,Roadways,No,Working Class,Yes,222.04
1734,0.32,19.0,Marble,71.51,79.88,No,No,No,Roadways,No,Wealthy,Yes,1097.06
1735,0.52,9.0,,5.28,13.91,No,Yes,Yes,Roadways,No,Working Class,No,-225.7
1736,0.08,38.0,Bronze,49.11,61.86,No,Yes,No,Airways,No,Wealthy,No,488.93
1737,0.01,15.0,Aluminium,4.25,24.77,Yes,Yes,No,Airways,No,Wealthy,No,176.03
1738,0.93,13.0,,8.26,14.13,No,No,Yes,,No,Working Class,No,1736.11
1739,0.86,49.0,Stone,221.515,27.17,Yes,No,No,Airways,No,Working Class,Yes,2621.29875
1740,1.0,42.0,,221.515,90.88,Yes,No,Yes,Waterways,No,Working Class,No,2621.29875
1741,0.84,27.0,Wood,6.9,22.98,No,No,No,,No,Working Class,,868.36
1742,0.25,11.0,Wood,4.32,24.56,No,Yes,No,,No,Wealthy,,188.03
1743,0.33,,Clay,3.45,21.91,No,Yes,No,Airways,Yes,Wealthy,Yes,175.28
1744,,16.0,Clay,5.03,23.93,No,No,No,,Yes,Working Class,No,374.14
1745,0.82,46.0,Marble,221.515,63.63,No,No,Yes,Roadways,Yes,Working Class,No,2621.29875
1746,0.02,28.0,Aluminium,5.88,10.23,No,Yes,No,Roadways,No,Wealthy,No,107.39
1747,0.43,,Marble,119.03,72.53,No,Yes,Yes,,No,Working Class,Yes,891.33
1748,0.7,11.0,Stone,43.58,73.23,No,No,Yes,Roadways,No,Working Class,No,1185.1
1749,0.39,40.0,Bronze,221.515,75.09,No,No,No,Roadways,No,Working Class,No,1622.67
